,id0,id1,points_0,points_1
0,Duke,Wake Forest,34,27
0,Air Force,Colorado State,42,21
0,Akron,"Miami, OH",49,56
0,Tulsa,UAB,49,42
0,Marshall,Purdue,41,51
0,Georgia,Tennessee,51,44
0,Michigan State,Ohio State,16,17
0,Boston College,Clemson,31,45
0,Idaho,North Carolina,0,66
0,Houston,Rice,35,14
0,La. Tech,Virginia,44,38
0,Cincinnati,Virginia Tech,27,24
0,Navy,San Jose State,0,12
0,C. Michigan,N. Illinois,24,55
0,La.-Monroe,Tulane,63,10
0,Arizona State,California,27,17
0,Florida Atlantic,North Texas,14,20
0,Florida State,South Florida,30,17
0,Boise State,New Mexico,32,29
0,Colorado,UCLA,14,42
0,Kentucky,South Carolina,17,38
0,SMU,TCU,16,24
0,Iowa State,Texas Tech,13,24
0,East Carolina,UTEP,28,18
0,FIU,La.-Lafayette,20,48
0,Arkansas State,W. Kentucky,13,26
0,Toledo,W. Michigan,37,17
0,Oklahoma State,Texas,36,41
0,Louisville,Southern Miss,21,17
0,Nebraska,Wisconsin,30,27
0,UNLV,Utah State,13,35
0,Alabama,Mississippi,33,13
0,Arizona,Oregon State,35,38
0,Fresno State,San Diego State,52,40
0,Oregon,Washington State,51,26
0,Arkansas State,FIU,34,20
0,East Carolina,UCF,20,40
0,Southern Cal,Utah,38,28
0,Pittsburgh,Syracuse,13,14
0,BYU,Utah State,6,3
0,Air Force,Navy,21,28
0,Kansas,Kansas State,16,56
0,Connecticut,Rutgers,3,19
0,Northwestern,Penn State,28,39
0,Arkansas,Auburn,24,7
0,Indiana,Michigan State,27,31
0,Buffalo,Ohio,31,38
0,South Florida,Temple,28,37
0,Army,Boston College,34,31
0,Boise State,Southern Miss,40,14
0,Kentucky,Mississippi State,14,27
0,North Carolina,Virginia Tech,56,34
0,E. Michigan,Kent State,14,41
0,Akron,Bowling Green,10,24
0,Arizona,Stanford,48,54
0,Duke,Virginia,42,17
0,Ball State,N. Illinois,23,35
0,C. Michigan,Toledo,35,50
0,Florida,LSU,14,6
0,Clemson,Georgia Tech,47,31
0,Iowa State,TCU,37,23
0,Oklahoma,Texas Tech,41,20
0,Maryland,Wake Forest,19,14
0,Illinois,Wisconsin,14,31
0,Marshall,Tulsa,38,45
0,La.-Monroe,MTSU,31,17
0,Michigan,Purdue,44,13
0,Idaho,New Mexico State,26,18
0,La.-Lafayette,Tulane,41,13
0,Oregon State,Washington State,19,6
0,Texas,West Virginia,45,48
0,Colorado State,Fresno State,7,28
0,Missouri,Vanderbilt,14,19
0,Mississippi,Texas A&M,27,30
0,Memphis,Rice,14,10
0,Houston,North Texas,44,21
0,Cincinnati,"Miami, OH",52,14
0,La. Tech,UNLV,58,31
0,Nevada,Wyoming,35,28
0,Georgia,South Carolina,7,35
0,"Miami, FL",Notre Dame,3,41
0,Florida State,N.C. State,16,17
0,Nebraska,Ohio State,38,63
0,Hawaii,San Diego State,14,52
0,SMU,UTEP,17,0
0,California,UCLA,43,17
0,Oregon,Washington,52,21
