,id0,id1,points_0,points_1,spread,over_under
0,LSU,Syracuse,34,24,23.5,None
0,Connecticut,Navy,18,28,7.0,None
0,Bowling Green,Purdue,35,28,4.5,None
0,Indiana,Wake Forest,31,24,3.5,None
0,Boston College,N. Illinois,17,14,3.5,None
0,FIU,La. Tech,17,27,14.0,None
0,New Mexico,Wyoming,38,28,4.0,None
0,Maryland,West Virginia,6,45,16.5,None
0,Baylor,Rice,70,17,33.0,None
0,Iowa,North Texas,62,16,25.5,None
0,Minnesota,Ohio,27,24,7.5,None
0,Oklahoma State,Texas,30,27,3.0,None
0,East Carolina,Virginia Tech,35,28,-10.0,None
0,Florida,Tennessee,28,27,-1.0,None
0,Appalachian State,Old Dominion,49,0,7.5,None
0,Massachusetts,Notre Dame,27,62,28.0,None
0,Ohio State,W. Michigan,38,12,34.0,None
0,Penn State,San Diego State,37,21,14.5,None
0,Kent State,Marshall,29,36,6.5,None
0,"Miami, OH",W. Kentucky,14,56,20.0,None
0,Buffalo,Nevada,21,24,-3.0,None
0,Alabama,La.-Monroe,34,0,37.0,None
0,Illinois,MTSU,27,25,3.5,None
0,TCU,Texas Tech,55,52,5.0,None
0,California,Washington,30,24,1.0,None
0,Army,E. Michigan,58,36,1.5,None
0,Arkansas,Texas A&M,21,28,6.5,None
0,Mississippi,Vanderbilt,27,16,27.0,None
0,Colorado State,UTSA,33,31,9.0,None
0,Akron,La.-Lafayette,35,14,-7.5,None
0,Arkansas State,Toledo,7,37,4.0,None
0,Auburn,Mississippi State,9,17,-1.0,None
0,Kentucky,Missouri,21,13,3.0,None
0,N.C. State,South Alabama,63,13,17.5,None
0,Arizona,UCLA,30,56,-0.0,None
0,Ball State,Northwestern,19,24,17.5,None
0,Hawaii,Wisconsin,0,28,24.5,None
0,Houston,Texas State,59,14,17.5,None
0,Oregon,Utah,20,62,-10.0,None
0,Georgia Southern,Idaho,44,20,16.0,None
0,Fresno State,San Jose State,23,49,5.5,None
0,Arizona State,Southern Cal,14,42,4.5,None
0,Cincinnati,"Miami, FL",34,23,-7.0,None
0,Memphis,South Florida,24,17,7.0,None
0,BYU,Connecticut,30,13,14.5,None
0,Indiana,Ohio State,27,34,21.5,None
0,Michigan State,Purdue,24,21,23.0,None
0,Florida,Mississippi,38,10,-7.0,None
0,TCU,Texas,50,7,14.0,None
0,Baylor,Texas Tech,63,35,17.0,None
0,Clemson,Notre Dame,24,22,3.0,None
0,Arizona State,UCLA,38,23,-13.0,None
0,Alabama,Georgia,38,10,-1.0,None
0,E. Michigan,LSU,22,44,45.0,None
0,Florida State,Wake Forest,24,16,19.0,None
0,Mississippi State,Texas A&M,17,30,4.0,None
0,Oklahoma,West Virginia,44,24,6.5,None
0,Minnesota,Northwestern,0,27,4.5,None
0,Arizona,Stanford,17,55,12.0,None
