,id0,id1,points_0,points_1,spread,over_under
0,South Carolina,Texas A&M,28,52,-10.0,None
0,La.-Monroe,Wake Forest,17,10,2.0,None
0,Boise State,Mississippi,13,35,10.0,None
0,Tulane,Tulsa,31,38,5.0,None
0,Rutgers,Washington State,41,38,-7.5,None
0,Temple,Vanderbilt,37,7,-8.5,None
0,BYU,Connecticut,35,10,14.5,None
0,Bowling Green,W. Kentucky,31,59,-7.0,None
0,Colorado,Colorado State,17,31,-2.5,None
0,Houston,UTSA,7,27,-9.5,None
0,Penn State,UCF,26,24,-1.5,None
0,UCLA,Virginia,28,20,19.0,None
0,Navy,Ohio State,17,34,13.5,None
0,Troy,UAB,10,48,-2.5,None
0,Boston College,Massachusetts,30,7,17.5,None
0,Alabama,West Virginia,33,23,23.0,None
0,Notre Dame,Rice,48,17,19.5,None
0,FAU,Nebraska,7,55,20.0,None
0,California,Northwestern,31,24,-7.5,None
0,Marshall,"Miami, OH",42,27,24.5,None
0,Arkansas,Auburn,21,45,17.0,None
0,Clemson,Georgia,21,45,9.5,None
0,Kent State,Ohio  ,14,17,-3.0,None
0,La. Tech,Oklahoma,16,48,33.5,None
0,Fresno State,Southern Cal,13,52,18.5,None
0,Mississippi State,Southern Miss,49,0,31.0,None
0,Florida State,Oklahoma State,37,31,20.5,None
0,New Mexico,UTEP,24,31,-9.5,None
0,North Texas,Texas  ,7,38,21.0,None
0,LSU,Wisconsin,28,24,3.5,None
0,Hawaii,Washington,16,17,17.5,None
0,Tennessee,Utah State,38,7,3.5,None
0,Baylor,SMU,45,0,33.0,None
0,Louisville,"Miami, FL",34,13,5.0,None
0,Arizona,UTSA,26,23,7.5,None
0,Boston College,Pittsburgh,20,30,5.5,None
0,Nevada,Washington State,24,13,-3.5,None
0,Alabama,FAU,41,0,42.0,None
0,Oklahoma,Tulsa,52,7,24.5,None
0,Iowa State,Kansas State,28,32,12.0,None
0,Missouri,Toledo,49,24,3.5,None
0,Arkansas State,Tennessee,19,34,16.5,None
0,Army,Buffalo,47,39,3.0,None
0,North Texas,SMU,43,3,2.5,None
0,Illinois,W. Kentucky,42,34,3.0,None
0,Akron,Penn State,3,21,14.0,None
