,id0,id1,points_0,points_1
0,Oklahoma State,Texas A&M,30.0,29.0
0,Clemson,Florida State,35.0,30.0
0,Marshall,Virginia Tech,10.0,30.0
0,Illinois,W. Michigan,23.0,20.0
0,Duke,Tulane,48.0,27.0
0,East Carolina,UAB,28.0,23.0
0,Colorado,Ohio State,17.0,37.0
0,Oregon State,UCLA,19.0,27.0
0,Southern Miss,Virginia,30.0,24.0
0,California,Washington,23.0,31.0
0,Kansas State,"Miami, FL",28.0,24.0
0,New Mexico State,San Jose State,24.0,34.0
0,MTSU,Troy,35.0,38.0
0,Fresno State,Idaho,48.0,24.0
0,Buffalo,Connecticut,3.0,17.0
0,FIU,La.-Lafayette,31.0,36.0
0,South Carolina,Vanderbilt,21.0,3.0
0,Florida,Kentucky,48.0,10.0
0,Baylor,Rice,56.0,31.0
0,South Florida,UTEP,52.0,24.0
0,Auburn,Florida Atlantic,30.0,14.0
0,Indiana,North Texas,21.0,24.0
0,La. Tech,Mississippi State,20.0,26.0
0,Nevada,Texas Tech,34.0,35.0
0,Nebraska,Wyoming,38.0,14.0
0,Missouri,Oklahoma,28.0,38.0
0,LSU,West Virginia,47.0,21.0
0,Boise State,Tulsa,41.0,21.0
0,Colorado State,Utah State,35.0,34.0
0,Arizona,Oregon,31.0,56.0
0,Arizona State,Southern Cal,43.0,22.0
0,Pittsburgh,South Florida,44.0,17.0
0,Houston,UTEP,49.0,42.0
0,BYU,Utah State,27.0,24.0
0,Arkansas,Texas A&M,42.0,38.0
0,Michigan,Minnesota,58.0,0.0
0,Illinois,Northwestern,38.0,35.0
0,Georgia,Mississippi State,24.0,10.0
0,Indiana,Penn State,10.0,16.0
0,Rutgers,Syracuse,19.0,16.0
0,Temple,Toledo,13.0,36.0
0,Army,Tulane,45.0,6.0
0,Kansas,Texas Tech,34.0,45.0
0,Air Force,Navy,35.0,34.0
0,Kentucky,LSU,7.0,35.0
0,Boston College,Wake Forest,19.0,27.0
0,Buffalo,Tennessee,10.0,41.0
0,Cincinnati,"Miami, OH",27.0,0.0
0,Akron,E. Michigan,23.0,31.0
0,Kent State,Ohio,10.0,17.0
0,Boise State,Nevada,30.0,10.0
0,Auburn,South Carolina,16.0,13.0
0,Baylor,Kansas State,35.0,36.0
0,SMU,TCU,40.0,33.0
0,Georgia Tech,N.C. State,45.0,35.0
0,Bowling Green,West Virginia,10.0,55.0
0,Arizona,Southern Cal,41.0,48.0
0,Colorado,Washington State,27.0,31.0
0,Connecticut,W. Michigan,31.0,31.0
0,Louisville,Marshall,13.0,17.0
0,Michigan State,Ohio State,10.0,7.0
0,Idaho,Virginia,20.0,21.0
0,C. Michigan,N. Illinois,48.0,41.0
0,Colorado State,San Jose State,31.0,38.0
0,Arkansas State,W. Kentucky,26.0,22.0
0,Clemson,Virginia Tech,23.0,3.0
0,Ball State,Oklahoma,6.0,62.0
0,Iowa State,Texas,14.0,37.0
0,North Texas,Tulsa,24.0,41.0
0,Utah,Washington,14.0,31.0
0,Florida Atlantic,La.-Lafayette,34.0,37.0
0,Duke,FIU,31.0,27.0
0,Hawaii,La. Tech,44.0,26.0
0,MTSU,Memphis,38.0,31.0
0,Troy,UAB,24.0,23.0
0,Rice,Southern Miss,24.0,48.0
0,Alabama,Florida,38.0,10.0
0,Nebraska,Wisconsin,17.0,48.0
0,East Carolina,North Carolina,20.0,35.0
0,New Mexico,New Mexico State,28.0,42.0
0,Notre Dame,Purdue,38.0,10.0
0,Fresno State,Mississippi,28.0,38.0
0,Stanford,UCLA,45.0,19.0
0,Arizona State,Oregon State,35.0,20.0
0,MTSU,W. Kentucky,33.0,36.0
0,California,Oregon,15.0,43.0
0,Boise State,Fresno State,57.0,7.0
0,Oklahoma,Texas,55.0,17.0
0,Georgia Tech,Maryland,21.0,16.0
0,Connecticut,West Virginia,16.0,43.0
0,Mississippi State,UAB,21.0,3.0
0,Louisville,North Carolina,7.0,14.0
0,Minnesota,Purdue,17.0,45.0
0,Kentucky,South Carolina,3.0,54.0
0,Florida State,Wake Forest,30.0,35.0
0,Memphis,Rice,6.0,28.0
0,Army,"Miami, OH",28.0,35.0
0,Akron,FIU,17.0,27.0
0,Ball State,Temple,0.0,42.0
0,Bowling Green,W. Michigan,21.0,45.0
0,Illinois,Indiana,41.0,20.0
0,Boston College,Clemson,14.0,36.0
0,E. Michigan,Toledo,16.0,54.0
0,Florida,LSU,11.0,41.0
0,Kansas,Oklahoma State,28.0,70.0
0,Kansas State,Missouri,24.0,17.0
0,"Miami, FL",Virginia Tech,35.0,38.0
0,Arizona State,Utah,35.0,14.0
0,Air Force,Notre Dame,33.0,59.0
0,C. Michigan,N.C. State,24.0,38.0
0,Pittsburgh,Rutgers,10.0,34.0
0,Arizona,Oregon State,27.0,37.0
0,Iowa,Penn State,3.0,13.0
0,Buffalo,Ohio,38.0,37.0
0,Navy,Southern Miss,35.0,63.0
0,Kent State,N. Illinois,10.0,40.0
0,Idaho,La. Tech,11.0,24.0
0,Alabama,Vanderbilt,34.0,0.0
0,Arkansas,Auburn,38.0,14.0
0,Michigan,Northwestern,42.0,24.0
0,Texas A&M,Texas Tech,45.0,40.0
0,Baylor,Iowa State,49.0,26.0
0,East Carolina,Houston,3.0,56.0
0,La.-Lafayette,Troy,31.0,17.0
0,Marshall,UCF,6.0,16.0
0,Arkansas State,La.-Monroe,24.0,19.0
0,Nevada,UNLV,37.0,0.0
0,Georgia,Tennessee,20.0,12.0
0,Colorado,Stanford,7.0,48.0
0,Florida Atlantic,North Texas,17.0,31.0
0,Nebraska,Ohio State,34.0,27.0
0,Utah State,Wyoming,63.0,19.0
0,Syracuse,Tulane,37.0,34.0
