,team_0,team_1,glicko_0,glicko_1,win_rate_0,win_rate_1,weighted_win_rate_0,weighted_win_rate_1,opponents_win_rate_0,opponents_win_rate_1,opponents_opponents_win_rate_0,opponents_opponents_win_rate_1,rpi_0,rpi_1,pyth_exp_0,pyth_exp_1,points_0,num_passes_0,pass_yards_0,yards_per_pass_0,num_rushes_0,rush_yards_0,yards_per_rush_0,num_plays_0,total_yards_0,yards_per_play_0,num_turnovers_0,penalty_yards_0,time_of_possession_0,points_against_0,num_passes_against_0,pass_yards_against_0,yards_per_pass_against_0,num_rushes_against_0,rush_yards_against_0,yards_per_rush_against_0,num_plays_against_0,total_yards_against_0,yards_per_play_against_0,num_turnovers_against_0,penalty_yards_against_0,time_of_possession_against_0,points_1,num_passes_1,pass_yards_1,yards_per_pass_1,num_rushes_1,rush_yards_1,yards_per_rush_1,num_plays_1,total_yards_1,yards_per_play_1,num_turnovers_1,penalty_yards_1,time_of_possession_1,points_against_1,num_passes_against_1,pass_yards_against_1,yards_per_pass_against_1,num_rushes_against_1,rush_yards_against_1,yards_per_rush_against_1,num_plays_against_1,total_yards_against_1,yards_per_play_against_1,num_turnovers_against_1,penalty_yards_against_1,time_of_possession_against_1
0,Colorado State,Oregon State,1403.9827710346904,1477.013989937127,0.5,0.2727272727272727,0.5666666666666665,0.1636363636363636,0.5371900826446281,0.5630252100840336,0.48751642575558474,0.5233516483516484,0.5321408144278769,0.45325960803901977,0.6844158674238768,0.10502605814598669,34.333333333333336,27.666666666666668,237.83333333333334,8.596385542168674,41.416666666666664,215.75,5.209255533199195,69.08333333333333,453.5833333333333,6.565741857659831,1.0,51.583333333333336,1756.5833333333333,31.166666666666668,23.583333333333332,196.25,8.321554770318022,45.25,224.08333333333334,4.952117863720074,68.83333333333333,420.3333333333333,6.106537530266344,1.0833333333333333,46.5,1843.4166666666667,24.272727272727273,29.363636363636363,174.0,5.925696594427245,36.45454545454545,186.72727272727272,5.12219451371571,65.81818181818181,360.72727272727275,5.480662983425415,1.6363636363636365,69.27272727272727,1872.909090909091,31.727272727272727,32.18181818181818,209.72727272727272,6.516949152542373,42.63636363636363,225.45454545454547,5.287846481876333,74.81818181818181,435.1818181818182,5.8165249088699875,1.3636363636363635,55.36363636363637,1727.090909090909
0,Hawaii,Massachusetts,1061.8656261984238,1361.3222220565622,0.46153846153846156,0.09090909090909091,0.43076923076923074,0.05454545454545454,0.45652173913043476,0.48739495798319327,0.4790590935169248,0.4739273927392739,0.45571795063675624,0.37581569081277877,0.07497079478403773,0.015303144493812508,27.307692307692307,32.15384615384615,229.3846153846154,7.133971291866029,33.84615384615385,162.92307692307693,4.8136363636363635,66.0,392.3076923076923,5.944055944055944,1.8461538461538463,73.15384615384616,1791.3076923076924,37.38461538461539,28.23076923076923,229.15384615384616,8.11716621253406,44.46153846153846,235.76923076923077,5.302768166089965,72.6923076923077,464.9230769230769,6.3957671957671955,1.0,65.53846153846153,1808.6923076923076,22.363636363636363,35.90909090909091,246.9090909090909,6.875949367088608,31.09090909090909,95.54545454545455,3.073099415204678,67.0,342.45454545454544,5.111261872455902,2.1818181818181817,66.72727272727273,1624.4545454545455,37.63636363636363,32.54545454545455,255.8181818181818,7.860335195530726,41.90909090909091,205.0909090909091,4.893709327548807,74.45454545454545,460.90909090909093,6.190476190476191,1.2727272727272727,65.18181818181819,1975.5454545454545
0,San Jose State,South Florida,1778.6140888301727,1202.8331435504638,0.2727272727272727,0.8333333333333334,0.3090909090909091,0.7999999999999999,0.525,0.47244094488188976,0.44813829787234044,0.5334182049649905,0.4518073017408124,0.5695750236821925,0.010952049867004206,0.8958659744523876,19.727272727272727,31.818181818181817,221.0909090909091,6.948571428571428,38.45454545454545,132.72727272727272,3.451536643026005,70.27272727272727,353.8181818181818,5.0349288486416555,1.8181818181818181,34.45454545454545,1824.2727272727273,34.63636363636363,22.0,182.45454545454547,8.293388429752065,45.27272727272727,250.72727272727272,5.538152610441767,67.27272727272727,433.1818181818182,6.4391891891891895,1.1818181818181819,50.72727272727273,1775.7272727272727,42.75,27.75,225.5,8.126126126126126,44.083333333333336,291.6666666666667,6.616257088846881,71.83333333333333,517.1666666666666,7.199535962877031,1.25,60.083333333333336,1631.25,32.666666666666664,38.833333333333336,295.5833333333333,7.611587982832618,43.416666666666664,202.25,4.658349328214971,82.25,497.8333333333333,6.052684903748734,1.8333333333333333,40.166666666666664,1968.75
0,Rice,Stanford,1716.9859212103338,1127.4043611101029,0.18181818181818182,0.7692307692307693,0.18181818181818182,0.7999999999999999,0.44537815126050423,0.49640287769784175,0.4525101763907734,0.5482380127094165,0.38127116518249093,0.585260942026275,0.014299138466961434,0.884999162589226,21.636363636363637,34.54545454545455,195.27272727272728,5.652631578947369,40.54545454545455,166.9090909090909,4.116591928251121,75.0909090909091,362.1818181818182,4.823244552058111,1.6363636363636365,43.63636363636363,1823.6363636363637,36.72727272727273,28.09090909090909,288.54545454545456,10.271844660194175,40.45454545454545,219.8181818181818,5.4337078651685395,68.54545454545455,508.3636363636364,7.416445623342175,0.8181818181818182,60.54545454545455,1776.3636363636363,26.307692307692307,23.46153846153846,158.69230769230768,6.7639344262295085,40.15384615384615,208.69230769230768,5.197318007662835,63.61538461538461,367.38461538461536,5.77509068923821,1.3846153846153846,54.0,1966.8461538461538,20.384615384615383,33.53846153846154,223.6153846153846,6.66743119266055,35.15384615384615,144.46153846153845,4.109409190371991,68.6923076923077,368.0769230769231,5.358342665173573,1.5384615384615385,58.23076923076923,1633.1538461538462
0,Indiana,Ohio State,1955.7853669811764,1594.0404904558802,0.46153846153846156,0.8461538461538461,0.523076923076923,0.7538461538461537,0.5,0.6131386861313869,0.5209481808158766,0.5491198182850653,0.5110062759731999,0.6323108360984981,0.3914238523139948,0.9994361496875668,25.76923076923077,35.07692307692308,273.9230769230769,7.809210526315789,41.07692307692308,152.23076923076923,3.7059925093632957,76.15384615384616,426.15384615384613,5.595959595959596,2.230769230769231,52.92307692307692,1688.923076923077,27.23076923076923,32.07692307692308,219.69230769230768,6.848920863309353,42.61538461538461,160.3846153846154,3.7635379061371843,74.6923076923077,380.0769230769231,5.088568486096808,1.7692307692307692,56.53846153846154,1906.4615384615386,39.38461538461539,31.46153846153846,213.92307692307693,6.799511002444988,44.84615384615385,245.23076923076923,5.4682675814751285,76.3076923076923,459.15384615384613,6.017137096774194,0.9230769230769231,50.61538461538461,1991.2307692307693,15.461538461538462,30.846153846153847,172.23076923076923,5.58354114713217,37.0,124.3076923076923,3.35966735966736,67.84615384615384,296.53846153846155,4.370748299319728,2.076923076923077,41.23076923076923,1608.7692307692307
0,Oklahoma State,Tulsa,1696.7935750126417,1848.4761374416726,0.75,0.75,0.8166666666666665,0.6833333333333332,0.53125,0.43846153846153846,0.5400651465798045,0.5348120764017252,0.6048079533116177,0.5237671216645339,0.874445363769388,0.915086799002789,36.75,35.833333333333336,329.8333333333333,9.204651162790698,37.75,173.25,4.589403973509934,73.58333333333333,503.0833333333333,6.8369195922989805,1.0833333333333333,49.0,1720.5833333333333,28.833333333333332,34.666666666666664,263.0833333333333,7.5889423076923075,41.833333333333336,203.5,4.864541832669323,76.5,466.5833333333333,6.099128540305011,1.75,46.583333333333336,1879.4166666666667,41.166666666666664,34.0,256.9166666666667,7.556372549019608,52.25,271.8333333333333,5.202551834130782,86.25,528.75,6.130434782608695,1.5833333333333333,51.166666666666664,1794.75,30.583333333333332,37.583333333333336,250.75,6.671840354767184,40.583333333333336,180.58333333333334,4.449691991786447,78.16666666666667,431.3333333333333,5.518123667377399,1.5833333333333333,64.0,1805.25
0,FIU,UCF,1410.6444399008499,1225.5142787797054,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.4499999999999999,0.3969465648854962,0.48333333333333334,0.46569520340012144,0.4682799215173316,0.39823041662611175,0.47123664704599955,0.048329918639771756,0.5963600465522065,24.0,33.916666666666664,226.66666666666666,6.683046683046683,35.166666666666664,148.58333333333334,4.225118483412322,69.08333333333333,375.25,5.431845597104946,2.0,47.833333333333336,1894.0833333333333,34.833333333333336,30.25,232.83333333333334,7.696969696969697,38.333333333333336,201.75,5.26304347826087,68.58333333333333,434.5833333333333,6.3365735115431345,1.1666666666666667,50.916666666666664,1705.9166666666667,28.0,34.333333333333336,205.08333333333334,5.973300970873787,39.333333333333336,136.5,3.4703389830508473,73.66666666666667,341.5833333333333,4.636877828054299,1.9166666666666667,57.416666666666664,1622.25,26.666666666666668,32.833333333333336,206.0,6.274111675126903,45.333333333333336,176.58333333333334,3.895220588235294,78.16666666666667,382.5833333333333,4.894456289978678,1.9166666666666667,50.25,1977.75
0,Buffalo,Minnesota,1714.0264145361223,1144.298284071421,0.18181818181818182,0.6666666666666666,0.2545454545454545,0.5666666666666665,0.4247787610619469,0.5185185185185185,0.45014245014245013,0.544924154025671,0.38856135670294956,0.5371569644323436,0.003724789590602963,0.8617620070892906,16.545454545454547,33.0,202.63636363636363,6.140495867768595,34.36363636363637,146.8181818181818,4.272486772486772,67.36363636363636,349.45454545454544,5.187584345479082,1.3636363636363635,39.36363636363637,1586.3636363636363,33.27272727272727,24.0,188.1818181818182,7.840909090909091,51.27272727272727,264.90909090909093,5.166666666666667,75.27272727272727,453.09090909090907,6.019323671497585,1.1818181818181819,33.72727272727273,2013.6363636363637,26.083333333333332,24.666666666666668,163.0,6.608108108108108,42.833333333333336,174.58333333333334,4.075875486381323,67.5,337.5833333333333,5.001234567901235,1.4166666666666667,55.083333333333336,1853.75,20.75,37.5,229.58333333333334,6.122222222222222,35.0,118.58333333333333,3.388095238095238,72.5,348.1666666666667,4.802298850574712,2.0,43.083333333333336,1746.25
0,La.-Monroe,Memphis,1585.5762150890066,1219.7802187606287,0.2,0.5833333333333334,0.27999999999999997,0.5499999999999999,0.5462962962962963,0.515625,0.47593984962406016,0.5055147058823529,0.4621331105541632,0.5216911764705882,0.002921787820218656,0.8982196581245669,20.5,30.0,190.3,6.343333333333334,41.2,159.0,3.8592233009708736,71.2,349.3,4.905898876404494,2.2,40.9,1736.9,42.5,26.2,211.1,8.057251908396946,47.1,285.1,6.053078556263269,73.3,496.2,6.769440654843111,1.2,65.8,1863.1,39.166666666666664,36.416666666666664,305.1666666666667,8.379862700228832,37.833333333333336,163.41666666666666,4.319383259911894,74.25,468.5833333333333,6.310886644219978,1.5,60.916666666666664,1629.6666666666667,29.833333333333332,38.333333333333336,258.5833333333333,6.745652173913044,41.75,212.83333333333334,5.097804391217565,80.08333333333333,471.4166666666667,5.886576482830385,2.3333333333333335,58.083333333333336,1970.3333333333333
0,Arizona State,New Mexico State,1213.778554731096,1442.0548003256363,0.36363636363636365,0.25,0.43636363636363634,0.15,0.5858585858585859,0.5038759689922481,0.5157728706624606,0.4615869017632242,0.5309634196858172,0.40483470993693005,0.10138551003855209,0.00639352731679098,32.18181818181818,36.18181818181818,266.45454545454544,7.364321608040201,39.0,118.36363636363636,3.034965034965035,75.18181818181819,384.8181818181818,5.118500604594922,1.7272727272727273,53.09090909090909,1839.6363636363637,42.27272727272727,41.09090909090909,356.3636363636364,8.672566371681416,33.18181818181818,152.9090909090909,4.608219178082192,74.27272727272727,509.27272727272725,6.8567931456548346,1.5454545454545454,58.36363636363637,1760.3636363636363,20.666666666666668,38.416666666666664,243.75,6.344902386117137,37.75,170.91666666666666,4.527593818984547,76.16666666666667,414.6666666666667,5.444201312910285,1.8333333333333333,50.0,1594.75,38.833333333333336,30.0,252.41666666666666,8.41388888888889,45.75,244.25,5.33879781420765,75.75,496.6666666666667,6.556655665566557,1.9166666666666667,53.833333333333336,2005.25
