,id0,id1,points_0,points_1,spread,over_under
0,South Carolina,Vanderbilt,17,13,6.5,None
0,Akron,UCF,14,56,24.5,None
0,Ball State,E. Michigan,37,26,3.0,None
0,Rice,UCLA,24,49,16.0,None
0,BYU,Washington State,30,6,13.0,None
0,Minnesota,UNLV,30,27,9.5,None
0,N.C. State,Tennessee,21,35,3.0,None
0,Boise State,Michigan State,13,17,8.0,None
0,San Jose State,Stanford,17,20,26.5,None
0,Navy,Notre Dame,10,50,14.5,None
0,Buffalo,Georgia,23,45,37.5,None
0,Marshall,West Virginia,34,69,27.0,None
0,"Miami, OH",Ohio State,10,56,25.5,None
0,Troy,UAB,39,29,6.0,None
0,Northwestern,Syracuse,42,41,-2.0,None
0,Ohio,Penn State,24,14,-6.0,None
0,Illinois,W. Michigan,24,7,10.0,None
0,California,Nevada,24,31,-11.0,None
0,Nebraska,Southern Miss,49,20,20.5,None
0,Bowling Green,Florida,14,27,29.0,None
0,Iowa State,Tulsa,38,23,-2.0,None
0,Boston College,"Miami, FL",32,41,2.5,None
0,Iowa,N. Illinois,18,17,8.0,None
0,Colorado,Colorado State,17,22,-6.0,None
0,LSU,North Texas,41,14,43.0,None
0,Auburn,Clemson,19,26,2.5,None
0,Duke,FIU,46,26,4.0,None
0,Hawaii,Southern Cal,10,49,42.0,None
0,Alabama,Michigan,41,14,14.0,None
0,Texas,Wyoming,37,17,31.0,None
0,Rutgers,Tulane,24,12,20.0,None
0,Oklahoma,UTEP,24,7,30.5,None
0,Arkansas State,Oregon,34,57,38.0,None
0,Arizona,Toledo,20,17,10.0,None
0,San Diego State,Washington,12,21,16.0,None
0,Kentucky,Louisville,14,32,13.0,None
0,Baylor,SMU,59,24,8.5,None
0,Georgia Tech,Virginia Tech,17,20,7.5,None
0,Cincinnati,Pittsburgh,34,10,4.0,None
0,Utah,Utah State,20,27,-7.0,None
0,Ohio State,UCF,31,16,18.0,None
0,Kansas State,"Miami, FL",52,13,7.0,None
0,Connecticut,N.C. State,7,10,3.0,None
0,Tulane,Tulsa,10,45,22.0,None
0,Maryland,Temple,36,27,-9.0,None
0,Penn State,Virginia,16,17,10.0,None
0,Auburn,Mississippi State,10,28,3.0,None
0,East Carolina,South Carolina,10,48,21.0,None
0,Ball State,Clemson,27,52,27.5,None
0,Alabama,W. Kentucky,35,0,38.0,None
0,Southern Cal,Syracuse,42,29,25.0,None
0,C. Michigan,Michigan State,7,41,18.5,None
0,Air Force,Michigan,25,31,21.5,None
0,Notre Dame,Purdue,20,17,14.0,None
0,Florida,Texas A&M,20,17,-0.0,None
0,Iowa,Iowa State,6,9,-3.5,None
0,Kansas,Rice,24,25,-12.5,None
0,Nevada,South Florida,31,32,-1.0,None
0,Oregon State,Wisconsin,10,7,-6.0,None
0,North Carolina,Wake Forest,27,28,-10.0,None
0,Toledo,Wyoming,34,31,-3.5,None
0,Akron,FIU,38,41,25.5,None
0,Fresno State,Oregon,25,42,34.5,None
0,LSU,Washington,41,3,23.5,None
0,Arkansas,La.-Monroe,31,34,-30.0,None
0,Mississippi,UTEP,28,10,8.0,None
0,Bowling Green,Idaho,21,13,17.0,None
0,New Mexico State,Ohio,24,51,21.5,None
0,Arkansas State,Memphis,33,28,23.5,None
0,Florida Atlantic,MTSU,17,31,7.0,None
0,La.-Lafayette,Troy,37,24,1.5,None
0,Army,San Diego State,7,42,6.0,None
0,Kent State,Kentucky,14,47,6.5,None
0,Georgia,Missouri,41,20,1.5,None
0,Nebraska,UCLA,30,36,-4.0,None
0,New Mexico,Texas,0,45,39.0,None
0,Northwestern,Vanderbilt,23,13,-3.5,None
0,Houston,La. Tech,49,56,3.0,None
0,Arizona,Oklahoma State,59,38,-10.0,None
0,Duke,Stanford,13,50,16.5,None
0,Arizona State,Illinois,45,24,6.0,None
0,Rutgers,South Florida,23,13,-7.5,None
0,UNLV,Washington State,27,35,9.0,None
0,Florida State,Wake Forest,52,0,27.5,None
0,California,Ohio State,28,35,17.0,None
0,Pittsburgh,Virginia Tech,35,17,-10.5,None
0,Kansas,TCU,6,20,20.0,None
0,Minnesota,W. Michigan,28,23,3.0,None
0,Arkansas State,Nebraska,13,42,23.5,None
0,La.-Lafayette,Oklahoma State,24,65,23.5,None
0,Army,N. Illinois,40,41,3.0,None
0,E. Michigan,Purdue,16,54,24.0,None
0,Auburn,La.-Monroe,31,28,15.0,None
0,Connecticut,Maryland,24,21,2.5,None
0,Alabama,Arkansas,52,0,20.0,None
0,Louisville,North Carolina,39,34,3.5,None
0,Georgia Tech,Virginia,56,20,10.0,None
0,Boston College,Northwestern,13,22,4.0,None
0,Navy,Penn State,7,34,6.5,None
0,SMU,Texas A&M,3,48,10.0,None
0,East Carolina,Southern Miss,24,14,-7.0,None
0,Boise State,"Miami, OH",39,12,21.5,None
0,FIU,UCF,20,33,14.5,None
0,Florida,Tennessee,37,20,-3.0,None
0,Marshall,Ohio,24,27,5.5,None
0,South Carolina,UAB,49,6,33.5,None
0,Kansas State,North Texas,35,21,27.5,None
0,Kentucky,W. Kentucky,31,32,-6.5,None
0,Arizona State,Missouri,20,24,4.0,None
0,MTSU,Memphis,48,30,5.5,None
0,La. Tech,Rice,56,37,21.0,None
0,New Mexico,Texas Tech,14,49,32.5,None
0,Bowling Green,Toledo,15,27,3.0,None
0,Mississippi State,Troy,30,24,15.0,None
0,Southern Cal,Stanford,14,21,-9.5,None
0,Florida Atlantic,Georgia,20,56,41.5,None
0,Idaho,LSU,14,63,42.5,None
0,Michigan State,Notre Dame,3,20,-5.5,None
0,Colorado State,San Jose State,20,40,11.5,None
0,Ball State,Indiana,41,39,-2.5,None
0,Utah State,Wisconsin,14,16,14.5,None
0,Colorado,Fresno State,14,69,14.5,None
0,New Mexico State,UTEP,28,41,14.0,None
0,Mississippi,Texas,31,66,10.5,None
0,BYU,Utah,21,24,-3.5,None
0,Houston,UCLA,6,37,17.5,None
0,Buffalo,Kent State,7,23,-3.0,None
0,BYU,Boise State,6,7,6.0,None
0,Baylor,La.-Monroe,47,42,8.5,None
0,Maryland,West Virginia,21,31,26.5,None
0,Florida,Kentucky,38,0,23.5,None
0,Ohio State,UAB,29,15,35.0,None
0,TCU,Virginia,27,7,18.5,None
0,Bowling Green,Virginia Tech,0,37,17.0,None
0,UTEP,Wisconsin,26,37,17.5,None
0,C. Michigan,Iowa,32,31,-14.5,None
0,Mississippi,Tulane,39,0,17.5,None
0,Army,Wake Forest,37,49,7.0,None
0,Connecticut,W. Michigan,24,30,1.5,None
0,Georgia Tech,"Miami, FL",36,42,-14.0,None
0,Missouri,South Carolina,10,31,10.0,None
0,Oregon State,UCLA,27,20,-8.0,None
0,E. Michigan,Michigan State,7,23,31.5,None
0,East Carolina,North Carolina,6,27,15.0,None
0,Penn State,Temple,24,13,7.0,None
0,Marshall,Rice,54,51,3.0,None
0,Kansas,N. Illinois,23,30,7.5,None
0,Colorado,Washington State,35,34,-18.5,None
0,Ball State,South Florida,31,27,-7.5,None
0,Alabama,Florida Atlantic,40,7,48.5,None
0,Idaho,Wyoming,37,40,-2.5,None
0,California,Southern Cal,9,27,16.5,None
0,Duke,Memphis,38,14,22.0,None
0,Auburn,LSU,10,12,19.0,None
0,FIU,Louisville,21,28,11.0,None
0,Arkansas,Rutgers,26,35,-8.5,None
0,Colorado State,Utah State,19,31,11.5,None
0,Southern Miss,W. Kentucky,17,42,3.0,None
0,North Texas,Troy,7,14,-0.0,None
0,Michigan,Notre Dame,6,13,6.0,None
0,Akron,Tennessee,26,47,32.0,None
0,Georgia,Vanderbilt,48,3,15.0,None
0,Kansas State,Oklahoma,24,19,-15.5,None
0,Clemson,Florida State,37,49,14.5,None
0,San Diego State,San Jose State,34,38,-2.5,None
0,Minnesota,Syracuse,17,10,-2.5,None
0,New Mexico,New Mexico State,27,14,-5.0,None
0,Fresno State,Tulsa,26,27,6.0,None
0,Illinois,La. Tech,24,52,-3.0,None
0,Arizona State,Utah,37,7,7.0,None
0,Air Force,UNLV,35,38,-10.5,None
0,Arizona,Oregon,0,49,21.0,None
0,Hawaii,Nevada,24,69,7.0,None
0,Stanford,Washington,13,17,-7.0,None
0,BYU,Hawaii,47,0,25.5,None
0,Baylor,West Virginia,63,70,11.5,None
0,Buffalo,Connecticut,17,24,16.5,None
0,Georgia Tech,MTSU,28,49,-24.5,None
0,Indiana,Northwestern,29,44,12.5,None
0,Illinois,Penn State,7,35,-3.0,None
0,Missouri,UCF,21,16,-2.0,None
0,Iowa,Minnesota,31,13,6.0,None
0,Ball State,Kent State,43,45,-2.5,None
0,"Miami, FL",N.C. State,44,37,2.0,None
0,Arkansas,Texas A&M,10,58,13.0,None
0,Duke,Wake Forest,34,27,-2.5,None
0,Air Force,Colorado State,42,21,14.0,None
0,Akron,"Miami, OH",49,56,1.5,None
0,Tulsa,UAB,49,42,14.0,None
0,Marshall,Purdue,41,51,17.0,None
0,Georgia,Tennessee,51,44,14.0,None
0,Michigan State,Ohio State,16,17,-2.5,None
0,Boston College,Clemson,31,45,7.0,None
0,Idaho,North Carolina,0,66,27.0,None
0,Houston,Rice,35,14,9.5,None
0,La. Tech,Virginia,44,38,3.5,None
0,Cincinnati,Virginia Tech,27,24,-6.5,None
0,Navy,San Jose State,0,12,1.5,None
0,C. Michigan,N. Illinois,24,55,10.0,None
0,La.-Monroe,Tulane,63,10,20.0,None
0,Arizona State,California,27,17,2.5,None
0,Florida Atlantic,North Texas,14,20,7.0,None
0,Florida State,South Florida,30,17,16.5,None
0,Boise State,New Mexico,32,29,23.5,None
0,Colorado,UCLA,14,42,17.5,None
0,Kentucky,South Carolina,17,38,20.0,None
0,SMU,TCU,16,24,14.0,None
0,Iowa State,Texas Tech,13,24,1.0,None
0,East Carolina,UTEP,28,18,4.0,None
0,FIU,La.-Lafayette,20,48,6.5,None
0,Arkansas State,W. Kentucky,13,26,-1.5,None
0,Toledo,W. Michigan,37,17,-1.0,None
0,Oklahoma State,Texas,36,41,2.0,None
0,Louisville,Southern Miss,21,17,10.5,None
0,Nebraska,Wisconsin,30,27,12.0,None
0,UNLV,Utah State,13,35,21.0,None
0,Alabama,Mississippi,33,13,31.0,None
0,Arizona,Oregon State,35,38,-3.0,None
0,Fresno State,San Diego State,52,40,7.5,None
0,Oregon,Washington State,51,26,31.0,None
0,Arkansas State,FIU,34,20,2.5,None
0,East Carolina,UCF,20,40,12.0,None
0,Southern Cal,Utah,38,28,14.0,None
0,Pittsburgh,Syracuse,13,14,1.5,None
0,BYU,Utah State,6,3,6.5,None
0,Air Force,Navy,21,28,-9.0,None
0,Kansas,Kansas State,16,56,25.0,None
0,Connecticut,Rutgers,3,19,7.5,None
0,Northwestern,Penn State,28,39,3.0,None
0,Arkansas,Auburn,24,7,-7.0,None
0,Indiana,Michigan State,27,31,15.0,None
0,Buffalo,Ohio,31,38,14.5,None
0,South Florida,Temple,28,37,-4.5,None
0,Army,Boston College,34,31,-7.0,None
0,Boise State,Southern Miss,40,14,9.5,None
