,id0,id1,points_0,points_1,spread,over_under
0,Colorado State,Oregon State,58,27,3.5,60
0,Hawaii,Massachusetts,38,35,-3.0,60
0,San Jose State,South Florida,22,42,22.0,69.5
0,Rice,Stanford,7,62,30.0,51
0,Indiana,Ohio State,21,49,20.5,55.5
0,Oklahoma State,Tulsa,59,24,17.0,74
0,FIU,UCF,17,61,17.5,56.5
0,Buffalo,Minnesota,7,17,22.5,52
0,La.-Monroe,Memphis,29,37,28.0,61
0,Arizona State,New Mexico State,37,31,25.5,69
0,Rutgers,Washington,14,30,28.0,54.5
0,Utah State,Wisconsin,10,59,27.5,52
0,Charlotte,E. Michigan,7,24,14.0,59
0,FAU,Navy,19,42,9.0,64.5
0,Colorado,Colorado State,17,3,3.0,69.5
0,Boston College,N. Illinois,23,20,3.5,47
0,Alabama,Florida State,24,7,7.5,51
0,Southern Cal,W. Michigan,49,31,28.0,59.5
0,Clemson,Kent State,56,3,38.0,52
0,Akron,Penn State,0,52,30.0,63
0,Oklahoma,UTEP,56,7,43.0,63
0,Florida,Michigan,17,33,4.0,46
0,Auburn,Georgia Southern,41,7,34.5,59
0,Appalachian State,Georgia ,10,31,13.0,47
0,Louisville,Purdue,35,28,25.5,66
0,Maryland,Texas,51,43,-18.5,58.5
0,Ball State,Illinois,21,24,5.0,55.5
0,Iowa,Wyoming,24,3,12.0,51
0,Bowling Green,Michigan State,10,35,17.5,56
0,California,North Carolina,35,30,-13.0,57.5
0,N.C. State,South Carolina,28,35,-7.5,50
0,Notre Dame,Temple,49,16,19.5,56
0,Nevada,Northwestern,20,31,24.0,60.5
0,Boise State,Troy,24,13,11.0,58.5
0,Kentucky,Southern Miss,24,17,10.0,57
0,Marshall,"Miami, OH",31,26,-4.0,48
0,Coastal Carolina,Massachusetts,38,28,-2.5,56.5
0,Mississippi,South Alabama,47,27,21.5,59
0,Arkansas State,Nebraska,36,43,14.5,51
0,MTSU,Vanderbilt,6,28,2.5,56
0,BYU,LSU,0,27,14.5,47.5
0,Virginia Tech,West Virginia,31,24,5.0,55
0,Texas A&M,UCLA,44,45,6.5,61
0,Georgia Tech,Tennessee,41,42,4.0,55
0,Oklahoma State,South Alabama,44,7,28.0,68
0,Ohio,Purdue,21,44,3.0,54.5
0,Alabama,Fresno State,41,10,42.5,54
0,Ohio State,Oklahoma,16,31,-7.5,64.5
0,Auburn,Clemson,6,14,6.0,56
0,Penn State,Pittsburgh,33,14,20.0,64
0,Southern Cal,Stanford,42,24,4.0,55
0,Cincinnati,Michigan,14,36,32.0,51
0,FAU,Wisconsin,14,31,34.5,59.5
0,Georgia,Notre Dame,20,19,-5.0,57
0,Louisville,North Carolina,47,35,11.5,66
