,id0,id1,points_0,points_1,spread,over_under
0,North Carolina,South Carolina,10,27,12.0,None
0,Minnesota,UNLV,51,23,13.5,None
0,Bowling Green,Tulsa,34,7,2.5,None
0,Akron,UCF,7,38,23.5,None
0,Utah,Utah State,30,26,1.0,None
0,Mississippi,Vanderbilt,39,35,3.0,None
0,Fresno State,Rutgers,52,51,11.0,None
0,Hawaii,Southern Cal,13,30,24.0,None
0,Michigan State,W. Michigan,26,13,28.0,None
0,FAU,"Miami, FL",6,34,31.0,None
0,SMU,Texas Tech,23,41,4.0,None
0,Buffalo,Ohio State,20,40,34.0,None
0,Massachusetts,Wisconsin,0,45,43.0,None
0,Cincinnati,Purdue,42,7,10.5,None
0,Florida,Toledo,24,6,22.0,None
0,FIU,Maryland,10,43,21.0,None
0,La. Tech,N.C. State,14,40,14.0,None
0,Rice,Texas A&M,28,52,28.0,None
0,Mississippi State,Oklahoma State,3,21,12.5,None
0,Notre Dame,Temple,28,6,28.0,None
0,C. Michigan,Michigan,9,59,31.5,None
0,Penn State,Syracuse,23,17,8.0,None
0,BYU,Virginia,16,19,-3.0,None
0,Iowa,N. Illinois,27,30,-2.5,None
0,Arkansas,La.-Lafayette,34,14,10.0,None
0,Alabama,Virginia Tech,35,10,21.5,None
0,La.-Monroe,Oklahoma,0,34,22.5,None
0,Auburn,Washington State,31,24,14.0,None
0,Idaho,North Texas,6,40,16.5,None
0,Marshall,"Miami, OH",52,14,20.5,None
0,Southern Miss,Texas State,15,22,-8.0,None
0,Troy,UAB,34,31,4.5,None
0,Kentucky,W. Kentucky,26,35,-4.5,None
0,Clemson,Georgia,38,35,-2.5,None
0,New Mexico,Texas,7,56,44.0,None
0,Nebraska,Wyoming,37,34,31.0,None
0,LSU,TCU,37,27,4.0,None
0,Boise State,Washington,6,38,4.0,None
0,Nevada,UCLA,20,58,20.5,None
0,California,Northwestern,30,44,6.5,None
0,Louisville,Ohio,49,7,21.0,None
0,Colorado,Colorado State,41,27,-3.0,None
0,Florida State,Pittsburgh,41,13,12.0,None
0,East Carolina,FAU,31,13,19.5,None
0,Boston College,Wake Forest,24,10,2.5,None
0,FIU,UCF,0,38,24.0,None
0,Florida,"Miami, FL",16,21,-3.0,None
0,Kentucky,"Miami, OH",41,7,17.5,None
0,Michigan State,South Florida,21,6,21.5,None
0,E. Michigan,Penn State,7,45,28.0,None
0,Houston,Temple,22,13,3.0,None
0,Cincinnati,Illinois,17,45,-8.5,None
0,Bowling Green,Kent State,41,22,7.0,None
0,Tennessee,W. Kentucky,52,20,14.0,None
0,MTSU,North Carolina,20,40,19.5,None
0,Army,Ball State,14,40,10.0,None
0,Oregon,Virginia,59,10,26.5,None
0,Ohio State,San Diego State,42,7,28.0,None
0,Baylor,Buffalo,70,13,28.5,None
0,Missouri,Toledo,38,23,14.5,None
0,Air Force,Utah State,20,52,8.0,None
0,South Alabama,Tulane,41,39,-4.5,None
0,Idaho,Wyoming,10,42,28.5,None
0,Georgia,South Carolina,41,30,3.0,None
0,Duke,Memphis,28,14,4.0,None
0,Northwestern,Syracuse,48,27,17.0,None
0,Nebraska,Southern Miss,56,13,28.0,None
0,Indiana,Navy,35,41,-12.5,None
0,Kansas State,La.-Lafayette,48,27,12.5,None
0,BYU,Texas,40,21,-7.5,None
0,Oklahoma,West Virginia,16,7,21.5,None
0,North Texas,Ohio,21,27,3.5,None
0,Colorado State,Tulsa,27,30,14.0,None
