,id0,id1,points_0,points_1
0,North Carolina,South Carolina,13.0,17.0
0,FIU,UCF,15.0,14.0
0,C. Michigan,Oklahoma State,13.0,24.0
0,Vanderbilt,W. Kentucky,12.0,14.0
0,Michigan,Utah,17.0,24.0
0,Minnesota,TCU,17.0,24.0
0,Idaho,Ohio,28.0,45.0
0,Duke,Tulane,37.0,7.0
0,Arizona,UTSA,42.0,32.0
0,Michigan State,W. Michigan,37.0,24.0
0,Baylor,SMU,56.0,21.0
0,Boise State,Washington,16.0,13.0
0,Northwestern,Stanford,16.0,6.0
0,Georgia,La.-Monroe,51.0,14.0
0,UCLA,Virginia,34.0,16.0
0,Arkansas,UTEP,48.0,13.0
0,Auburn,Louisville,31.0,24.0
0,Bowling Green,Tennessee,30.0,59.0
0,Akron,Oklahoma,3.0,41.0
0,Arizona State,Texas A&M,17.0,38.0
0,Notre Dame,Texas,38.0,3.0
0,Alabama,Wisconsin,35.0,17.0
0,Florida State,Texas State,59.0,16.0
0,Arkansas State,Southern Cal,6.0,55.0
0,Ohio State,Virginia Tech,42.0,24.0
0,La. Tech,W. Kentucky,38.0,41.0
0,FAU,"Miami, FL",20.0,44.0
0,Utah,Utah State,24.0,14.0
0,Florida State,South Florida,34.0,14.0
0,Georgia Tech,Tulane,65.0,10.0
0,Notre Dame,Virginia,34.0,27.0
0,Hawaii,Ohio State,0.0,38.0
0,Michigan,Oregon State,35.0,7.0
0,Army,Connecticut,17.0,22.0
0,Kansas State,UTSA,30.0,3.0
0,Bowling Green,Maryland,48.0,27.0
0,Houston,Louisville,34.0,31.0
0,Buffalo,Penn State,14.0,27.0
0,"Miami, OH",Wisconsin,0.0,58.0
0,Syracuse,Wake Forest,30.0,17.0
0,Colorado,Massachusetts,48.0,14.0
0,Texas Tech,UTEP,69.0,20.0
0,Colorado State,Minnesota,20.0,23.0
0,Rutgers,Washington State,37.0,37.0
0,Georgia,Vanderbilt,31.0,14.0
0,Fresno State,Mississippi,21.0,73.0
0,Alabama,MTSU,37.0,10.0
