,id0,id1,points_0,points_1
0,Houston,Texas State,64.0,3.0
0,Stanford,UCLA,22.0,13.0
0,Michigan State,Wisconsin,6.0,30.0
0,Arizona,Washington,28.0,35.0
0,Arkansas  ,Texas A&M,24.0,45.0
0,Georgia,Mississippi  ,14.0,45.0
0,Florida State,South Florida,55.0,35.0
0,Florida,Tennessee,28.0,38.0
0,Baylor,Oklahoma State,35.0,24.0
0,Auburn,LSU,18.0,13.0
0,Nebraska,Northwestern,24.0,13.0
0,Nevada,Purdue,14.0,24.0
0,Iowa State,San Jose State,44.0,10.0
0,Charlotte,Temple,20.0,48.0
0,Iowa,Rutgers,14.0,7.0
0,Colorado State,Minnesota,24.0,31.0
0,East Carolina,Virginia Tech,17.0,54.0
0,C. Michigan,Virginia  ,35.0,49.0
0,Connecticut,Syracuse,24.0,31.0
0,Cincinnati,"Miami, OH",27.0,20.0
0,Akron,Appalachian State,38.0,45.0
0,Boise State,Oregon State,38.0,24.0
0,BYU,West Virginia,32.0,35.0
0,Duke,Notre Dame,38.0,35.0
0,Massachusetts,Mississippi State,35.0,45.0
0,North Carolina,Pittsburgh,37.0,36.0
0,Old Dominion,UTSA,33.0,19.0
0,Indiana,Wake Forest,28.0,33.0
0,Vanderbilt,W. Kentucky,31.0,30.0
0,Fresno State,Tulsa,41.0,48.0
0,Colorado,Oregon,41.0,38.0
0,Ball State,FAU,31.0,27.0
0,North Texas,Rice,42.0,35.0
0,New Mexico State,Troy,6.0,52.0
0,Georgia Southern,W. Michigan,31.0,49.0
0,FIU,UCF,14.0,53.0
0,La. Tech,MTSU,34.0,38.0
0,Army,Buffalo,20.0,23.0
0,Kentucky,South Carolina,17.0,10.0
0,Bowling Green,Memphis,3.0,77.0
0,La.-Lafayette,Tulane,39.0,41.0
0,Southern Miss,UTEP,34.0,7.0
0,Idaho,UNLV,33.0,30.0
0,Arizona State,California,51.0,41.0
0,Air Force,Utah State,27.0,20.0
0,Connecticut,Houston,14.0,42.0
0,Kansas,Texas Tech,19.0,55.0
0,Stanford,Washington,6.0,44.0
0,BYU,Toledo,55.0,53.0
0,Alabama,Kentucky,34.0,6.0
0,Ohio State,Rutgers,58.0,0.0
0,Clemson,Louisville,42.0,36.0
0,Michigan,Wisconsin,14.0,7.0
0,South Carolina,Texas A&M,13.0,24.0
0,Georgia ,Tennessee,31.0,34.0
0,Florida State,North Carolina,35.0,37.0
0,Baylor,Iowa State,45.0,42.0
0,Georgia Tech,"Miami, FL",21.0,35.0
0,Illinois,Nebraska,16.0,31.0
0,Memphis,Mississippi,28.0,48.0
0,Indiana,Michigan State,24.0,21.0
0,California,Utah  ,28.0,23.0
0,San Diego State,South Alabama,24.0,42.0
0,Oklahoma,TCU,52.0,46.0
0,Oklahoma State,Texas,49.0,31.0
0,Florida,Vanderbilt,13.0,6.0
0,Boise State,Utah State,21.0,10.0
0,Notre Dame,Syracuse,50.0,33.0
0,Iowa,Northwestern,31.0,38.0
0,East Carolina,UCF,29.0,47.0
0,SMU,Temple,20.0,45.0
0,Appalachian State,Georgia State,17.0,3.0
0,Duke,Virginia,20.0,34.0
0,Boston College,Buffalo,35.0,3.0
0,Colorado,Oregon State,47.0,6.0
0,"Miami, OH",Ohio,7.0,17.0
0,Bowling Green,E. Michigan,25.0,28.0
0,Air Force,Navy,28.0,14.0
0,Auburn,La.-Monroe,58.0,7.0
0,Massachusetts,Tulane,24.0,31.0
0,Ball State,N. Illinois,24.0,31.0
0,N.C. State,Wake Forest,33.0,16.0
0,Akron,Kent State,31.0,27.0
0,Maryland,Purdue,50.0,7.0
0,Kansas State,West Virginia,16.0,17.0
0,Minnesota,Penn State,26.0,29.0
0,New Mexico,San Jose State,48.0,41.0
0,Idaho,Troy,13.0,37.0
0,Charlotte,Old Dominion,17.0,52.0
0,FAU,FIU,31.0,33.0
0,La.Tech,UTEP,28.0,7.0
0,MTSU,North Texas,30.0,13.0
0,Rice,Southern Miss,28.0,44.0
0,Cincinnati,South Florida,20.0,45.0
0,C. Michigan,W. Michigan,10.0,49.0
0,Marshall,Pittsburgh,27.0,43.0
0,LSU,Missouri,42.0,7.0
0,La.-Lafayette,New Mexico State,31.0,37.0
0,Arizona State,Southern Cal,20.0,41.0
0,Oregon,Washington State,33.0,51.0
0,Colorado State,Wyoming,17.0,38.0
0,Fresno State,UNLV,20.0,45.0
0,Arizona,UCLA,24.0,45.0
0,Hawaii,Nevada,38.0,17.0
0,Arkansas State,Georgia Southern,27.0,26.0
0,Memphis,Temple,34.0,27.0
0,La. Tech,W. Kentucky,55.0,52.0
0,Boston College,Clemson,10.0,56.0
0,Boise State,New Mexico,49.0,21.0
0,SMU,Tulsa,40.0,43.0
0,Massachusetts,Old Dominion,16.0,36.0
0,Alabama,Arkansas,49.0,30.0
0,Indiana,Ohio State,17.0,38.0
0,Michigan,Rutgers,78.0,0.0
0,Oregon,Washington,21.0,70.0
0,Houston,Navy,40.0,46.0
0,Tennessee,Texas A&M,38.0,45.0
0,Florida State,"Miami, FL",20.0,19.0
0,Stanford,Washington State,16.0,42.0
0,North Carolina,Virginia Tech,3.0,34.0
0,Oklahoma,Texas,45.0,40.0
0,Colorado,Southern Cal,17.0,21.0
0,Arizona,Utah,23.0,36.0
0,Cincinnati,Connecticut,9.0,20.0
0,East Carolina,South Florida,23.0,38.0
0,Kansas,TCU,23.0,24.0
0,Iowa,Minnesota,14.0,7.0
0,Maryland,Penn State,14.0,38.0
0,Southern Miss,UTSA,32.0,55.0
0,Auburn,Mississippi State,38.0,14.0
0,N.C. State,Notre Dame,10.0,3.0
0,Georgia Tech,Pittsburgh,34.0,37.0
0,Bowling Green,Ohio,24.0,30.0
0,Akron,"Miami, OH",35.0,13.0
0,E. Michigan,Toledo,20.0,35.0
0,Iowa State,Oklahoma State,31.0,38.0
0,Illinois,Purdue,31.0,34.0
0,Georgia State,Texas State,41.0,21.0
0,Buffalo,Kent State,20.0,44.0
0,Ball State,C. Michigan,21.0,24.0
0,Air Force,Wyoming,26.0,35.0
0,Army,Duke,6.0,13.0
0,BYU,Michigan State,31.0,14.0
0,Kentucky,Vanderbilt,20.0,13.0
0,Hawaii,San Jose State,34.0,17.0
0,N. Illinois,W. Michigan,30.0,45.0
0,Marshall,North Texas,21.0,38.0
0,Fresno State,Nevada,22.0,27.0
0,Idaho,La.-Monroe,34.0,31.0
0,Kansas State,Texas Tech,44.0,38.0
0,Syracuse,Wake Forest,9.0,28.0
0,FIU,UTEP,35.0,21.0
0,California,Oregon State,44.0,47.0
0,Colorado State,Utah State,31.0,24.0
0,San Diego State,UNLV,26.0,7.0
0,Arizona State,UCLA,23.0,20.0
0,Charlotte,FAU,28.0,23.0
0,Georgia,South Carolina,28.0,14.0
0,Appalachian State,La.-Lafayette,24.0,0.0
0,Duke,Louisville,14.0,24.0
0,Memphis,Tulane,24.0,14.0
0,Fresno State,San Diego State,3.0,17.0
0,BYU,Mississippi State,28.0,21.0
0,Alabama,Tennessee,49.0,10.0
0,Ohio State,Wisconsin,30.0,23.0
0,Clemson,N.C. State,24.0,17.0
0,Indiana,Nebraska,22.0,27.0
0,Baylor,Kansas,49.0,7.0
0,Arkansas,Mississippi,34.0,30.0
0,Houston,Tulsa,38.0,31.0
