,id0,id1,points_0,points_1
0,South Carolina,Texas A&M,28.0,52.0
0,La.-Monroe,Wake Forest,17.0,10.0
0,Boise State,Mississippi,13.0,35.0
0,Tulane,Tulsa,31.0,38.0
0,Rutgers,Washington State,41.0,38.0
0,Temple,Vanderbilt,37.0,7.0
0,BYU,Connecticut,35.0,10.0
0,Bowling Green,W. Kentucky,31.0,59.0
0,Colorado,Colorado State,17.0,31.0
0,Houston,UTSA,7.0,27.0
0,Penn State,UCF,26.0,24.0
0,UCLA,Virginia,28.0,20.0
0,Navy,Ohio State,17.0,34.0
0,Troy,UAB,10.0,48.0
0,Boston College,Massachusetts,30.0,7.0
0,Alabama,West Virginia,33.0,23.0
0,Notre Dame,Rice,48.0,17.0
0,FAU,Nebraska,7.0,55.0
0,California,Northwestern,31.0,24.0
0,Marshall,"Miami, OH",42.0,27.0
0,Arkansas,Auburn,21.0,45.0
0,Clemson,Georgia,21.0,45.0
0,Kent State,Ohio  ,14.0,17.0
0,La. Tech,Oklahoma,16.0,48.0
0,Fresno State,Southern Cal,13.0,52.0
0,Mississippi State,Southern Miss,49.0,0.0
0,Florida State,Oklahoma State,37.0,31.0
0,New Mexico,UTEP,24.0,31.0
0,North Texas,Texas  ,7.0,38.0
0,LSU,Wisconsin,28.0,24.0
0,Hawaii,Washington,16.0,17.0
0,Tennessee,Utah State,38.0,7.0
0,Baylor,SMU,45.0,0.0
0,Louisville,"Miami, FL",34.0,13.0
0,Arizona,UTSA,26.0,23.0
0,Boston College,Pittsburgh,20.0,30.0
0,Nevada,Washington State,24.0,13.0
0,Alabama,FAU,41.0,0.0
0,Oklahoma,Tulsa,52.0,7.0
0,Iowa State,Kansas State,28.0,32.0
0,Missouri,Toledo,49.0,24.0
0,Arkansas State,Tennessee,19.0,34.0
0,Army,Buffalo,47.0,39.0
0,North Texas,SMU,43.0,3.0
0,Illinois,W. Kentucky,42.0,34.0
0,Akron,Penn State,3.0,21.0
0,C. Michigan,Purdue,38.0,17.0
0,Navy,Temple,31.0,24.0
0,Kent State,South Alabama,13.0,23.0
0,Mississippi State,UAB,47.0,34.0
0,Georgia State,New Mexico State,31.0,34.0
0,Fresno State,Utah,27.0,59.0
0,Colorado  ,Massachusetts,41.0,38.0
0,Southern Cal,Stanford,13.0,10.0
0,MTSU,Minnesota,24.0,35.0
0,Ball State,Iowa,13.0,17.0
0,Kentucky,Ohio,20.0,3.0
0,Maryland,South Florida,24.0,17.0
0,N. Illinois,Northwestern,23.0,15.0
0,Georgia Tech,Tulane,38.0,21.0
0,E. Michigan,Florida  ,0.0,65.0
0,Mississippi,Vanderbilt,41.0,3.0
0,Michigan State,Oregon,27.0,46.0
0,Duke,Troy,34.0,17.0
0,Idaho,La.-Monroe,31.0,38.0
0,Arizona State,New Mexico,58.0,23.0
0,Auburn,San Jose State,59.0,13.0
0,East Carolina,South Carolina,23.0,33.0
0,La. Tech,La.-Lafayette,48.0,20.0
0,BYU,Texas,41.0,7.0
0,Michigan,Notre Dame,0.0,31.0
0,Ohio State,Virginia Tech,21.0,35.0
0,North Carolina,San Diego State,31.0,27.0
0,Memphis,UCLA,35.0,42.0
0,Boise State,Colorado State,37.0,24.0
0,Air Force,Wyoming,13.0,17.0
0,Hawaii,Oregon State,30.0,38.0
0,Texas Tech,UTEP,30.0,26.0
0,La. Tech,North Texas,42.0,21.0
0,BYU,Houston,33.0,25.0
0,Cincinnati,Toledo,58.0,34.0
0,Baylor,Buffalo,63.0,21.0
0,C. Michigan,Syracuse,3.0,40.0
0,Kent State,Ohio State,0.0,66.0
0,FIU,Pittsburgh,25.0,42.0
0,Bowling Green,Indiana,45.0,42.0
0,Maryland,West Virginia,37.0,40.0
0,Marshall,Ohio,44.0,14.0
0,Missouri,UCF,38.0,10.0
0,East Carolina,Virginia Tech,28.0,21.0
0,Massachusetts,Vanderbilt,31.0,34.0
0,Boise State,Connecticut,38.0,21.0
0,Louisville,Virginia  ,21.0,23.0
0,Air Force,Georgia State,48.0,38.0
0,Oregon,Wyoming,48.0,14.0
0,N.C. State,South Florida,49.0,17.0
0,Arkansas State,"Miami, FL",20.0,41.0
0,Arkansas,Texas Tech,49.0,28.0
0,Georgia  ,South Carolina,35.0,38.0
0,"Miami, OH",Michigan,10.0,34.0
0,Iowa  ,Iowa State,17.0,20.0
0,Duke,Kansas,41.0,3.0
0,La.-Lafayette,Mississippi,15.0,56.0
0,Minnesota,TCU,7.0,30.0
0,Illinois,Washington,19.0,44.0
0,Mississippi State,South Alabama,35.0,3.0
0,Army,Stanford,0.0,35.0
0,Idaho,W. Michigan,33.0,45.0
0,Alabama,Southern Miss,52.0,12.0
0,LSU,La.-Monroe,31.0,0.0
0,Oklahoma State,UTSA,43.0,13.0
0,Utah State,Wake Forest,36.0,24.0
0,MTSU,W. Kentucky,50.0,47.0
0,FAU,Tulsa,50.0,21.0
0,Florida,Kentucky,36.0,30.0
0,Notre Dame,Purdue,30.0,14.0
0,Texas,UCLA,17.0,20.0
0,New Mexico State,UTEP,24.0,42.0
0,Boston College,Southern Cal,37.0,31.0
0,Navy,Texas State,35.0,21.0
0,Penn State,Rutgers,13.0,10.0
0,Oklahoma,Tennessee,34.0,10.0
0,Rice,Texas A&M,10.0,38.0
0,Arizona State,Colorado,38.0,24.0
0,Fresno State,Nebraska,19.0,59.0
0,Arizona,Nevada,35.0,28.0
0,Auburn,Kansas State,20.0,14.0
0,Connecticut,South Florida,14.0,17.0
0,Iowa,Pittsburgh,24.0,20.0
0,E. Michigan,Michigan State,14.0,73.0
0,Georgia Tech,Virginia Tech,27.0,24.0
0,Bowling Green,Wisconsin,17.0,68.0
0,Georgia,Troy,66.0,0.0
0,Duke,Tulane,47.0,13.0
0,Maryland,Syracuse,34.0,20.0
0,Akron,Marshall,17.0,48.0
0,Colorado,Hawaii,21.0,12.0
0,Michigan  ,Utah,10.0,26.0
0,Navy,Rutgers,24.0,31.0
0,Army,Wake Forest,21.0,24.0
0,FIU,Louisville,3.0,34.0
0,SMU,Texas A&M,6.0,58.0
0,C. Michigan,Kansas  ,10.0,24.0
0,East Carolina,North Carolina,70.0,41.0
0,Alabama,Florida,42.0,21.0
0,BYU,Virginia,41.0,33.0
0,Illinois,Texas State,42.0,35.0
0,Indiana,Missouri,31.0,27.0
0,Massachusetts,Penn State,7.0,48.0
0,FAU,Wyoming,19.0,20.0
0,Minnesota,San Jose State,24.0,7.0
0,Georgia State,Washington,14.0,45.0
0,Arkansas,N. Illinois,52.0,14.0
0,Arkansas State,Utah State,21.0,14.0
0,Cincinnati,"Miami, OH",31.0,24.0
0,LSU,Mississippi State,29.0,34.0
0,MTSU,Memphis,17.0,36.0
0,Idaho,Ohio,24.0,36.0
0,Ball State,Toledo,23.0,34.0
0,South Carolina,Vanderbilt,48.0,34.0
0,Oklahoma,West Virginia,45.0,33.0
0,Clemson,Florida State,17.0,23.0
0,Houston,UNLV,47.0,14.0
0,New Mexico  ,New Mexico State,38.0,35.0
0,"Miami, FL",Nebraska,31.0,41.0
0,Arizona,California,49.0,45.0
0,Oregon,Washington State,38.0,31.0
0,Boise State,La.-Lafayette,34.0,9.0
0,Oregon State,San Diego State,28.0,7.0
0,Oklahoma State,Texas Tech,45.0,35.0
0,Arizona State,UCLA,27.0,62.0
0,Fresno State,New Mexico,35.0,24.0
0,SMU,TCU,0.0,56.0
0,South Florida,Wisconsin,10.0,27.0
0,Rutgers,Tulane,31.0,6.0
0,Iowa,Purdue,24.0,10.0
0,Northwestern,Penn State,29.0,6.0
0,Michigan State,Wyoming,56.0,14.0
0,Kentucky,Vanderbilt,17.0,7.0
0,Kansas State,UTEP,56.0,28.0
0,Georgia,Tennessee,35.0,32.0
0,Boston College,Colorado State,21.0,24.0
0,Virginia Tech,W. Michigan,35.0,17.0
0,Indiana,Maryland,15.0,37.0
0,Akron,Pittsburgh,21.0,10.0
0,Bowling Green,Massachusetts,47.0,42.0
0,Arkansas,Texas A&M,28.0,35.0
0,Kent State,Virginia ,13.0,45.0
0,Florida State,N.C. State,56.0,41.0
0,Navy,W. Kentucky,27.0,36.0
0,Michigan,Minnesota,14.0,30.0
0,Buffalo,"Miami, OH",35.0,27.0
0,Louisville,Wake Forest,20.0,10.0
0,FIU,UAB,34.0,20.0
0,Connecticut,Temple,10.0,36.0
0,California,Colorado,59.0,56.0
0,Kansas,Texas,0.0,23.0
0,Auburn,La. Tech,45.0,17.0
0,Stanford,Washington  ,20.0,13.0
0,Idaho,South Alabama,10.0,34.0
0,FAU,UTSA,41.0,37.0
0,Cincinnati,Ohio State,28.0,50.0
0,Air Force,Boise State,28.0,14.0
0,Clemson,North Carolina,50.0,35.0
0,La.-Monroe,Troy,22.0,20.0
0,Missouri,South Carolina,21.0,20.0
0,Rice,Southern Miss,41.0,23.0
0,C. Michigan,Toledo,28.0,42.0
0,Duke,"Miami, FL",10.0,22.0
0,LSU,New Mexico State,63.0,7.0
0,Memphis,Mississippi,3.0,24.0
0,Utah  ,Washington State,27.0,28.0
0,San Diego State,UNLV,34.0,17.0
0,Notre Dame,Syracuse,31.0,15.0
0,Texas State,Tulsa,37.0,34.0
0,Baylor,Iowa State,49.0,28.0
0,Illinois,Nebraska,14.0,45.0
0,Oregon State,Southern Cal,10.0,35.0
0,Nevada,San Jose State,21.0,10.0
0,FAU,FIU,10.0,38.0
0,Houston,UCF,12.0,17.0
0,Arizona,Oregon  ,31.0,24.0
0,Louisville,Syracuse,28.0,6.0
0,Fresno State,San Diego State,24.0,13.0
0,BYU,Utah State,20.0,35.0
0,Maryland,Ohio State,24.0,52.0
0,Illinois,Purdue,27.0,38.0
0,East Carolina,SMU,45.0,24.0
0,MTSU,Southern Miss,37.0,31.0
0,Army,Ball State,33.0,24.0
0,Florida,Tennessee,10.0,9.0
0,Iowa State,Oklahoma State,20.0,37.0
0,Mississippi State,Texas A&M,48.0,31.0
0,North Carolina,Virginia Tech,17.0,34.0
0,Akron,E. Michigan,31.0,6.0
0,Indiana,North Texas,49.0,24.0
0,Massachusetts,"Miami, OH",41.0,42.0
